triple_id,subject,predicate,object,source_standard,clause,note,confidence,layer,scenario_id,subject_type,object_type,norm_predicate
1,混凝土裂缝修补,选择依据,成因与性状,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.1,,high,base,,Defect,Concept,related_to
2,混凝土裂缝修补,应按…选择,适当的修补方法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.1,,high,base,,Defect,Concept,requires
3,混凝土裂缝修补,应根据…选择,合适的修补材料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.1,,high,base,,Defect,Concept,requires
4,混凝土裂缝修补,应根据…选择,合适的修补时机,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.1,,high,base,,Defect,Concept,requires
5,混凝土裂缝修补,可采用,涂刷法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.2,,high,base,,Defect,RepairMethod,treated_by
6,混凝土裂缝修补,可采用,粘贴法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.2,,high,base,,Defect,RepairMethod,treated_by
7,混凝土裂缝修补,可采用,凿槽嵌填法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.2,,high,base,,Defect,RepairMethod,treated_by
8,混凝土裂缝修补,可采用,灌浆法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.2,,high,base,,Defect,RepairMethod,treated_by
9,裂缝修补前,应收集,裂缝相关资料,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,Defect,Defect,requires
10,裂缝修补前,应进行,裂缝分类,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,Defect,Defect,requires
11,裂缝修补前,应进行,裂缝评估,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,Defect,Defect,requires
12,裂缝修补前,应明确,修补范围与规模,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,Defect,DefectFeature,requires
13,裂缝修补前,应明确,修补方法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,Defect,Concept,requires
14,裂缝修补前,应明确,工艺要求,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,Defect,Concept,requires
15,裂缝修补前,应明确,质量合格标准,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,Defect,QualityEvaluation,requires
16,裂缝处理范围内的混凝土表面,应达到,清洁,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,DefectFeature,Concept,requires
17,裂缝处理范围内的混凝土表面,应达到,坚固,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,DefectFeature,Concept,requires
18,裂缝处理范围内的混凝土表面,应达到,平整,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,DefectFeature,Concept,requires
19,裂缝处理范围内的混凝土表面,应达到,干燥,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,DefectFeature,Concept,requires
20,有外观要求的裂缝修补,应满足,外观设计要求,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.1.3,,high,base,,Defect,Concept,requires
21,表面裂缝,可选用,涂刷法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.1,,high,base,,DefectFeature,RepairMethod,uses_material
22,表面裂缝,可选用,粘贴法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.1,,high,base,,DefectFeature,RepairMethod,uses_material
23,浅层裂缝,可选用,涂刷法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.1,,high,base,,DefectFeature,RepairMethod,uses_material
24,浅层裂缝,可选用,粘贴法,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.1,,high,base,,DefectFeature,RepairMethod,uses_material
25,涂刷法,涂刷范围扩展至裂缝两侧,5cm～15cm,DL/T 5315—2014 水工混凝土建筑物修补加固技术规程,5.2.2,,high,base,,RepairMethod,Concept,related_to
