base_id,v3_id,triple_id,subject,predicate,object,source_standard,clause,note,confidence,module,target_component,target_defect
1,1,1,NB/T 10871-2021,standard_name,混凝土面板堆石坝设计规范,NB/T 10871-2021 混凝土面板堆石坝设计规范,,标准名称,high,CFRD_anti_seepage,面板,
2,2,11,NB/T 10871-2021,applicable_to,混凝土面板堆石坝,NB/T 10871-2021 混凝土面板堆石坝设计规范,封面/目录,规范对象,high,CFRD_anti_seepage,面板,
3,3,133,NB/T 10871-2021,includes_chapter,工程布置和坝体分区,NB/T 10871-2021 混凝土面板堆石坝设计规范,4-5,目录级骨架,high,CFRD_anti_seepage,,
4,4,134,NB/T 10871-2021,includes_chapter,趾板,NB/T 10871-2021 混凝土面板堆石坝设计规范,6,目录级骨架,high,CFRD_anti_seepage,趾板/连接部位,
5,5,135,NB/T 10871-2021,includes_chapter,面板,NB/T 10871-2021 混凝土面板堆石坝设计规范,7,目录级骨架,high,CFRD_anti_seepage,面板,
6,6,136,NB/T 10871-2021,includes_chapter,接缝和止水,NB/T 10871-2021 混凝土面板堆石坝设计规范,8,目录级骨架,high,CFRD_anti_seepage,接缝,
7,7,137,NB/T 10871-2021,includes_chapter,坝基处理,NB/T 10871-2021 混凝土面板堆石坝设计规范,9,目录级骨架,high,CFRD_anti_seepage,坝基/绕坝,
8,8,138,NB/T 10871-2021,includes_chapter,抗滑措施,NB/T 10871-2021 混凝土面板堆石坝设计规范,11,目录级骨架,high,CFRD_anti_seepage,,
9,9,139,NB/T 10871-2021,includes_chapter,安全监测,NB/T 10871-2021 混凝土面板堆石坝设计规范,13,目录级骨架,high,CFRD_anti_seepage,,
10,10,140,NB/T 10871-2021,includes_chapter,初期蓄水与运行维护,NB/T 10871-2021 混凝土面板堆石坝设计规范,15,目录级骨架,high,CFRD_anti_seepage,,
11,11,141,趾板,should_be_placed_on,坚硬抗冲蚀的弱风化至新鲜、弱卸荷至未卸荷基岩,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.1,岩石地基条件下,high,CFRD_anti_seepage,趾板/连接部位,
12,12,142,置于全风化及强风化、强卸荷或有地质缺陷基岩上的趾板,requires,专门处理措施,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.1,,high,CFRD_anti_seepage,趾板/连接部位,
13,13,143,中坝和低坝的趾板,can_be_placed_on,密实覆盖层,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.2,,high,CFRD_anti_seepage,趾板/连接部位,
14,14,144,高坝趾板置于覆盖层上,requires,专门研究,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.2,,high,CFRD_anti_seepage,趾板/连接部位,
15,15,145,置于岩石地基上的趾板,preferred_layout,平趾板,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.3,,high,CFRD_anti_seepage,趾板/连接部位,
16,16,146,岸坡较陡时的趾板布置,can_use,等宽窄趾板加混凝土防渗板,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.3,,high,CFRD_anti_seepage,趾板/连接部位,
17,17,147,岸坡较陡时的趾板布置,can_use,斜趾板,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.3,,high,CFRD_anti_seepage,趾板/连接部位,
18,18,148,地形或地质条件受限时的趾板布置,can_use,增加混凝土防渗板,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.4,,high,CFRD_anti_seepage,趾板/连接部位,
19,19,149,地形或地质条件受限时的趾板布置,can_use,回填混凝土,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.4,,high,CFRD_anti_seepage,趾板/连接部位,
20,20,150,局部趾板,can_be_replaced_by,趾墙,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.4,,high,CFRD_anti_seepage,趾板/连接部位,
21,21,151,高度大于5m的趾墙,requires,专门研究,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.4,,high,CFRD_anti_seepage,趾板/连接部位,
22,22,152,趾板位置,determined_by,趾板基准线,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.1.5,,high,CFRD_anti_seepage,趾板/连接部位,
23,23,153,趾板宽度,determined_by,趾板下基岩允许水力梯度和地基处理措施,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.1,,high,CFRD_anti_seepage,趾板/连接部位,
24,24,154,高坝趾板最小宽度,not_less_than,3m,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.1,,high,CFRD_anti_seepage,趾板/连接部位,
25,25,155,趾板宽度,can_be_extended_by,设置混凝土防渗板延长渗径,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.1,,high,CFRD_anti_seepage,趾板/连接部位,
26,26,156,基岩趾板厚度,should_be_similar_to,相连接面板厚度,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.2,,high,CFRD_anti_seepage,面板,
27,27,157,基岩趾板最小厚度,not_less_than,0.3m,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.2,,high,CFRD_anti_seepage,趾板/连接部位,
28,28,158,覆盖层上趾板,should_connect_to,防渗墙,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.3,通过混凝土连接板,high,CFRD_anti_seepage,趾板/连接部位,
29,29,159,趾板与连接板最小宽度,not_less_than,3m,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.3,,high,CFRD_anti_seepage,趾板/连接部位,
30,30,160,趾板和连接板厚度,should_be_same_as,相连接的面板厚度,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.3,,high,CFRD_anti_seepage,面板,
31,31,161,高坝及深厚覆盖层连接板,requires,三维有限元分析确定宽度数量及板间连接方式,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.3,,high,CFRD_anti_seepage,趾板/连接部位,
32,32,162,连接板施工,should_be_done_after,防渗墙完工,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.3,,high,CFRD_anti_seepage,趾板/连接部位,
33,33,163,连接板施工,should_be_done_before,水库第一次蓄水,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.3,,high,CFRD_anti_seepage,趾板/连接部位,
34,34,164,面板底面以下的趾板高度,recommended_range,0.8m~1.0m,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.5,,high,CFRD_anti_seepage,面板,
35,35,165,岩基上的趾板,can_use,不设伸缩缝的连续趾板,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.6,,high,CFRD_anti_seepage,趾板/连接部位,
36,36,166,当地形地质条件突变时的岩基趾板,should_set,伸缩缝,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.2.6,,high,CFRD_anti_seepage,趾板/连接部位,
37,37,167,趾墙,should_satisfy,防渗要求,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.3.6,,high,CFRD_anti_seepage,趾板/连接部位,
38,38,168,趾墙伸缩缝,should_be_staggered_with,面板垂直缝,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.3.6,,high,CFRD_anti_seepage,面板,
39,39,169,趾板混凝土要求,same_as,面板混凝土要求,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.4.1,,high,CFRD_anti_seepage,面板,
40,40,170,趾板混凝土防裂措施,same_as,面板混凝土防裂措施,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.4.2,,high,CFRD_anti_seepage,面板,
41,41,171,岩基上趾板及混凝土防渗板,reinforcement_type,单层双向钢筋,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.4.3,,high,CFRD_anti_seepage,趾板/连接部位,
42,42,172,非岩基上趾板及混凝土连接板,reinforcement_type,上下双层双向钢筋,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.4.3,,high,CFRD_anti_seepage,趾板/连接部位,
43,43,173,趾板及混凝土防渗板每向配筋率,recommended_range,0.3%~0.4%,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.4.3,,high,CFRD_anti_seepage,趾板/连接部位,
44,44,174,非岩基上趾板及连接板每向每层配筋率,recommended_range,0.3%~0.4%,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.4.3,,high,CFRD_anti_seepage,趾板/连接部位,
45,45,175,趾板钢筋保护层厚度,not_less_than,8cm,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.4.3,,high,CFRD_anti_seepage,趾板/连接部位,
46,46,176,趾板,should_be_connected_to,基岩,NB/T 10871-2021 混凝土面板堆石坝设计规范,6.4.5,采用锚筋连接,high,CFRD_anti_seepage,趾板/连接部位,
47,47,177,面板,requires,分缝分块设计,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.1.1,,high,CFRD_anti_seepage,面板,
48,48,178,面板垂直缝间距,recommended_range,12m~16m,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.1.1,,high,CFRD_anti_seepage,面板,
49,49,179,垂直缝在距周边缝法线方向约1.0m处,should_be,折线形式,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.1.1,,medium,CFRD_anti_seepage,接缝,
50,50,180,特高坝及地形地质条件特殊的高坝和地震设计烈度8度及以上堆石坝,can_set,水平缝,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.1.2,,high,CFRD_anti_seepage,接缝,
51,51,181,水平缝的结构型式和止水,requires,专门设计,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.1.2,,high,CFRD_anti_seepage,接缝,
52,52,182,面板施工缝缝面,should_be,垂直于面板,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.1.3,,high,CFRD_anti_seepage,面板,
53,53,183,分期浇筑的面板顶部,should_be_lower_than,填筑体顶部高程,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.1.4,,high,CFRD_anti_seepage,面板,
54,54,184,分期浇筑面板与填筑体顶部高差,not_less_than,5m,NB/T 10871-2021 混凝土面板堆石坝设计规范,7.1.4,,high,CFRD_anti_seepage,面板,
